Kind,Name,AvgCyclomatic,SumCyclomatic,MaxEssential,MaxNesting
Public Method,"controls.Estoque.botaoEditProduto",,1,,0
Public Method,"controls.Estoque.botaoRemoveProduto",,2,,1
Public Method,"controls.Estoque.botaoViewProduto",,1,,0
Public Method,"controls.Estoque.botaoVoltar",,1,,0
Public Method,"controls.Estoque.iniComboBox",,2,,1
Public Method,"controls.Estoque.initialize",,3,,2
Public Method,"controls.Estoque.listView",,2,,1
Public Method,"controls.Estoque.pesquisarCategoria",,2,,1
Public Method,"controls.Estoque.pesquisarProduto",,4,,1
Public Method,"controls.Estoque.show",,2,,0
Lambda Method,"controls.Estoque.show.(lambda_expr_1)",,1,,0
Public Method,"controls.Estoque.verificaSelecao",,3,,2
Public Class,"controls.Fornecedores",1,19,1,2
Public Method,"controls.Fornecedores.botaoAddFornecedor",,1,,0
Public Method,"controls.Fornecedores.botaoEditFornecedor",,1,,0
Public Method,"controls.Fornecedores.botaoRemoveFornecedor",,3,,2
Public Method,"controls.Fornecedores.botaoViewFornecedor",,1,,0
Public Method,"controls.Fornecedores.botaoVoltar",,1,,0
Public Method,"controls.Fornecedores.initialize",,2,,1
Public Method,"controls.Fornecedores.listView",,2,,1
Public Method,"controls.Fornecedores.pesquisarFornecedor",,4,,2
Public Method,"controls.Fornecedores.show",,2,,0
Lambda Method,"controls.Fornecedores.show.(lambda_expr_1)",,1,,0
Public Method,"controls.Fornecedores.verificaSelecao",,2,,1
Public Class,"controls.GerenciarCategoria",1,19,1,2
Public Constructor,"controls.GerenciarCategoria.GerenciarCategoria",,1,,0
Public Constructor,"controls.GerenciarCategoria.GerenciarCategoria",,1,,0
Public Method,"controls.GerenciarCategoria.ativarBotaoSalvar",,2,,1
Public Method,"controls.GerenciarCategoria.botaoCancelar",,1,,0
Public Method,"controls.GerenciarCategoria.botaoSalvar",,2,,1
Public Method,"controls.GerenciarCategoria.initialize",,7,,2
Public Method,"controls.GerenciarCategoria.preencher",,1,,0
Public Method,"controls.GerenciarCategoria.show",,2,,0
Public Method,"controls.GerenciarCategoria.show",,2,,0
Lambda Method,"controls.GerenciarCategoria.show.(lambda_expr_1)",,1,,0
Lambda Method,"controls.GerenciarCategoria.show.(lambda_expr_1)",,1,,0
Public Class,"controls.GerenciarFornecedor",1,19,1,1
Constructor,"controls.GerenciarFornecedor.GerenciarFornecedor",,1,,0
Constructor,"controls.GerenciarFornecedor.GerenciarFornecedor",,1,,0
Public Method,"controls.GerenciarFornecedor.ativarBotaoSalvar",,2,,1
Public Method,"controls.GerenciarFornecedor.botaoCancelar",,1,,0
Public Method,"controls.GerenciarFornecedor.botaoSalvar",,3,,1
Public Method,"controls.GerenciarFornecedor.initialize",,2,,1
Public Method,"controls.GerenciarFornecedor.preencher",,3,,1
Public Method,"controls.GerenciarFornecedor.show",,2,,0
Public Method,"controls.GerenciarFornecedor.show",,2,,0
Lambda Method,"controls.GerenciarFornecedor.show.(lambda_expr_1)",,1,,0
Lambda Method,"controls.GerenciarFornecedor.show.(lambda_expr_1)",,1,,0
Public Method,"controls.GerenciarFornecedor.visualizar",,2,,1
Public Class,"controls.GerenciarProduto",1,24,1,2
Public Constructor,"controls.GerenciarProduto.GerenciarProduto",,1,,0
Public Constructor,"controls.GerenciarProduto.GerenciarProduto",,1,,0
Public Method,"controls.GerenciarProduto.ativarBotaoSalvar",,2,,1
Public Method,"controls.GerenciarProduto.btCancel_Click",,1,,0
Public Method,"controls.GerenciarProduto.btSalvar_Click",,2,,1
Public Method,"controls.GerenciarProduto.iniComboBox",,3,,1
Public Method,"controls.GerenciarProduto.initialize",,6,,2
Public Method,"controls.GerenciarProduto.preencher",,1,,0
Public Method,"controls.GerenciarProduto.show",,3,,1
Public Method,"controls.GerenciarProduto.show",,2,,0
Lambda Method,"controls.GerenciarProduto.show.(lambda_expr_1)",,2,,0
Lambda Method,"controls.GerenciarProduto.show.(lambda_expr_1)",,1,,0
Public Method,"controls.GerenciarProduto.txtChanged",,2,,1
Public Class,"controls.GerenciarUsuario",2,37,1,2
Constructor,"controls.GerenciarUsuario.GerenciarUsuario",,1,,0
Constructor,"controls.GerenciarUsuario.GerenciarUsuario",,1,,0
Public Method,"controls.GerenciarUsuario.ativarBotaoSalvar",,2,,1
Public Method,"controls.GerenciarUsuario.botaoCancelar",,1,,0
Public Method,"controls.GerenciarUsuario.botaoSalvar",,10,,1
Public Method,"controls.GerenciarUsuario.iniCombobox",,2,,1
Public Method,"controls.GerenciarUsuario.initialize",,5,,2
Public Method,"controls.GerenciarUsuario.preencher",,7,,1
Public Method,"controls.GerenciarUsuario.show",,2,,0
Public Method,"controls.GerenciarUsuario.show",,2,,0
Lambda Method,"controls.GerenciarUsuario.show.(lambda_expr_1)",,1,,0
Lambda Method,"controls.GerenciarUsuario.show.(lambda_expr_1)",,1,,0
Public Method,"controls.GerenciarUsuario.verificaLogin",,3,,1
Public Method,"controls.GerenciarUsuario.visualizar",,1,,0
Public Class,"controls.Historico",2,35,1,2
Constructor,"controls.Historico.Historico",,1,,0
Constructor,"controls.Historico.Historico",,1,,0
Public Method,"controls.Historico.botaoVoltar",,1,,0
Public Method,"controls.Historico.checaFiltroCompra",,4,,1
Public Method,"controls.Historico.checaFiltroVenda",,4,,1
Public Method,"controls.Historico.fillCompraByDate",,3,,2
Public Method,"controls.Historico.fillTables",,4,,2
Public Method,"controls.Historico.fillVendaByDate",,3,,2
Public Method,"controls.Historico.initialize",,5,,2
Public Method,"controls.Historico.show",,2,,0
Lambda Method,"controls.Historico.show.(lambda_expr_1)",,1,,0
Public Method,"controls.Historico.showVenda",,2,,0
Lambda Method,"controls.Historico.showVenda.(lambda_expr_1)",,1,,0
Public Method,"controls.Historico.verificaSelecao",,3,,1
Public Method,"controls.Historico.visualizarCompra",,1,,0
Public Method,"controls.Historico.visualizarVenda",,1,,0
Public Class,"controls.Login",1,8,1,1
Public Static Method,"controls.Login.getUser",,1,,0
Public Method,"controls.Login.initialize",,1,,0
Public Method,"controls.Login.logar",,2,,1
Public Method,"controls.Login.show",,2,,0
Public Method,"controls.Login.show",,2,,0
Lambda Method,"controls.Login.show.(lambda_expr_1)",,1,,0
Lambda Method,"controls.Login.show.(lambda_expr_1)",,1,,0
Public Class,"controls.Main",1,2,1,0
Public Static Method,"controls.Main.main",,1,,0
Public Method,"controls.Main.start",,1,,0
Public Class,"controls.MenuPrincipal",1,18,1,1
Public Method,"controls.MenuPrincipal.botaoFornecedores",,1,,0
Public Method,"controls.MenuPrincipal.botaoFuncionarios",,1,,0
Public Method,"controls.MenuPrincipal.botaoHistorico",,1,,0
Public Method,"controls.MenuPrincipal.botaoVoltar",,1,,0
Public Method,"controls.MenuPrincipal.btCompras",,1,,0
Public Method,"controls.MenuPrincipal.btProdutos",,1,,0
Public Method,"controls.MenuPrincipal.btVendas",,1,,0
Public Method,"controls.MenuPrincipal.initialize",,1,,0
Public Method,"controls.MenuPrincipal.show",,2,,0
Lambda Method,"controls.MenuPrincipal.show.(lambda_expr_1)",,1,,0
Public Method,"controls.MenuPrincipal.usuario",,5,,1
Public Method,"controls.MenuPrincipal.verifCargo",,3,,1
Public Class,"controls.NovaCompra",2,43,7,3
Constructor,"controls.NovaCompra.NovaCompra",,1,,0
Constructor,"controls.NovaCompra.NovaCompra",,1,,0
Public Method,"controls.NovaCompra.addProds",,7,,2
Public Method,"controls.NovaCompra.atvBotaoAdd",,5,,2
